Id;Name;Country;JapName;Adaptability;Photo;Photo_file;EditName;EditCountry;EditPhoto;EditIntern;Value1;Value2;Value3;Value4;Value5;Value6
2;Jorge Jesus;228;;0;-1;;False;False;False;False;0;6;0;0;0;0
3;Ney Franco;146;;0;-1;;False;False;False;False;0;6;0;0;0;0
4;Ronald Koeman;224;;0;-1;;False;False;False;False;0;6;0;0;0;0
5;Wouter Vrancken;197;;0;-1;;False;False;False;False;0;6;0;0;0;0
8;Oliver Glasner;194;;0;-1;;False;False;False;False;0;6;0;0;0;0
9;Patrick Videira;208;;0;-1;;False;False;False;False;0;6;0;0;0;0
10;Pedro Moreira;228;;0;-1;;False;False;False;False;0;6;0;0;0;0
11;Andrea Sottil;215;;0;-1;;False;False;False;False;0;6;0;0;0;0
12;Ian Cathro;232;;0;-1;;False;False;False;False;0;6;0;0;0;0
13;Diego Hernán Martínez;144;;0;-1;;False;False;False;False;0;6;0;0;0;0
16;Rubi;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
17;Peter Bosz;224;;0;-1;;False;False;False;False;0;6;0;0;0;0
19;Gaizka Garitano;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
20;Gustavo Quinteros;145;;0;-1;;False;False;False;False;0;6;0;0;0;0
21;Alejandro Restrepo;148;;0;-1;;False;False;False;False;0;6;0;0;0;0
22;Vasco Seabra;228;;0;-1;;False;False;False;False;0;6;0;0;0;0
23;Massimiliano Allegri;215;;0;-1;;False;False;False;False;0;6;0;0;0;0
24;Mohamed Benhachem;76;;0;-1;;False;False;False;False;0;6;0;0;0;0
25;Marcelo Gallardo;144;;0;-1;;False;False;False;False;0;6;0;0;0;0
26;Michele Mignani;215;;0;-1;;False;False;False;False;0;6;0;0;0;0
27;Jonatan Alba;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
29;Aleksandar Stanojevic;303;;0;-1;;False;False;False;False;0;6;0;0;0;0
30;Gian Piero Gasperini;215;;0;-1;;False;False;False;False;0;6;0;0;0;0
31;Ernesto Valverde;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
32;Jair Ventura;146;;0;-1;;False;False;False;False;0;6;0;0;0;0
33;Carlos Cuesta;215;;0;-1;;False;False;False;False;0;6;0;0;0;0
34;César Farías;153;;0;-1;;False;False;False;False;0;6;0;0;0;0
35;Tonda Eckert;210;;0;-1;;False;False;False;False;0;6;0;0;0;0
37;Darko Milanic;235;;0;-1;;False;False;False;False;0;6;0;0;0;0
38;Jörn Andersen;226;;0;-1;;False;False;False;False;0;6;0;0;0;0
39;Botelho da Costa;228;;0;-1;;False;False;False;False;0;6;0;0;0;0
43;Roberto D'Aversa;215;;0;-1;;False;False;False;False;0;6;0;0;0;0
44;Ole Werner;210;;0;-1;;False;False;False;False;0;6;0;0;0;0
45;Thorsten Fink;210;;0;-1;;False;False;False;False;0;6;0;0;0;0
50;Unai Emery;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
51;Carlo Ancelotti;215;;0;-1;;False;False;False;False;0;6;0;0;0;0
52;Diego Simeone;144;;0;-1;;False;False;False;False;0;6;0;0;0;0
53;José Luis Mendilibar;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
54;Javier Aguirre;124;;0;-1;;False;False;False;False;0;6;0;0;0;0
55;Gerard Zaragoza;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
56;Henrik Rydström;237;;0;-1;;False;False;False;False;0;6;0;0;0;0
57;Cristián Muñoz;147;;0;-1;;False;False;False;False;0;6;0;0;0;0
58;Sergio Gómez;144;;0;-1;;False;False;False;False;0;6;0;0;0;0
59;Ricardo Catalá;146;;0;-1;;False;False;False;False;0;6;0;0;0;0
65;Edward Still;204;;0;-1;;False;False;False;False;0;6;0;0;0;0
71;Brian Riemer;203;;0;-1;;False;False;False;False;0;6;0;0;0;0
77;Shinya Tsukahara;13;;0;-1;;False;False;False;False;0;6;0;0;0;0
79;Lucas Bovaglio;144;;0;-1;;False;False;False;False;0;6;0;0;0;0
80;Des Buckingham;204;;0;-1;;False;False;False;False;0;6;0;0;0;0
82;Pepe Bordalás;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
88;Johnny Heitinga;224;;0;-1;;False;False;False;False;0;6;0;0;0;0
90;Stale Solbakken;226;;0;-1;;False;False;False;False;0;6;0;0;0;0
93;Manuel Pellegrini;147;;0;-1;;False;False;False;False;0;6;0;0;0;0
104;Rafael Benítez;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
106;Antonio Conte;215;;0;-1;;False;False;False;False;0;6;0;0;0;0
108;Ruben den Uil;224;;0;-1;;False;False;False;False;0;6;0;0;0;0
110;Robert Eziakor;80;;0;-1;;False;False;False;False;0;6;0;0;0;0
111;Fabrizio Castori;215;;0;-1;;False;False;False;False;0;6;0;0;0;0
112;Paulo Pezzolano;152;;0;-1;;False;False;False;False;0;6;0;0;0;0
114;Mark Robins;204;;0;-1;;False;False;False;False;0;6;0;0;0;0
115;Brendan Rodgers;225;;0;-1;;False;False;False;False;0;6;0;0;0;0
119;Mircea Lucescu;229;;0;-1;;False;False;False;False;0;6;0;0;0;0
121;Phil Parkinson;204;;0;-1;;False;False;False;False;0;6;0;0;0;0
125;Lorenzo Rubinacci;215;;0;-1;;False;False;False;False;0;6;0;0;0;0
128;Eduardo Baptista;146;;0;-1;;False;False;False;False;0;6;0;0;0;0
129;Luis Tevenet;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
130;Álvaro Pacheco;228;;0;-1;;False;False;False;False;0;6;0;0;0;0
131;Manolo González;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
133;Arda Turan;190;;0;-1;;False;False;False;False;0;6;0;0;0;0
134;Guillermo Almada;152;;0;-1;;False;False;False;False;0;6;0;0;0;0
135;Niko Kovac;200;;0;-1;;False;False;False;False;0;6;0;0;0;0
137;Frank Lampard;204;;0;-1;;False;False;False;False;0;6;0;0;0;0
138;Okan Buruk;190;;0;-1;;False;False;False;False;0;6;0;0;0;0
141;João Pedro Pereira;228;;0;-1;;False;False;False;False;0;6;0;0;0;0
142;Maurício Barbieri;146;;0;-1;;False;False;False;False;0;6;0;0;0;0
143;Karel Geraerts;197;;0;-1;;False;False;False;False;0;6;0;0;0;0
144;Pacheta;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
145;Sebastián Oliveros;148;;0;-1;;False;False;False;False;0;6;0;0;0;0
148;Frank Schmidt;210;;0;-1;;False;False;False;False;0;6;0;0;0;0
149;Paul Heckingbottom;204;;0;-1;;False;False;False;False;0;6;0;0;0;0
150;Joseph Oosting;224;;0;-1;;False;False;False;False;0;6;0;0;0;0
151;Ralf Rangnick;210;;0;-1;;False;False;False;False;0;6;0;0;0;0
152;Eduardo Barroca;146;;0;-1;;False;False;False;False;0;6;0;0;0;0
153;Pablo Correa;152;;0;-1;;False;False;False;False;0;6;0;0;0;0
154;Luís Pinto;228;;0;-1;;False;False;False;False;0;6;0;0;0;0
159;Alfredo Arias;152;;0;-1;;False;False;False;False;0;6;0;0;0;0
170;Mauricio Pellegrino;144;;0;-1;;False;False;False;False;0;6;0;0;0;0
172;Míchel;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
176;Bubista;51;;0;-1;;False;False;False;False;0;6;0;0;0;0
181;John Eustace;204;;0;-1;;False;False;False;False;0;6;0;0;0;0
182;Guillermo Farré;144;;0;-1;;False;False;False;False;0;6;0;0;0;0
188;Ron Jans;224;;0;-1;;False;False;False;False;0;6;0;0;0;0
195;Mariano Soso;144;;0;-1;;False;False;False;False;0;6;0;0;0;0
197;Flabio Torres;148;;0;-1;;False;False;False;False;0;6;0;0;0;0
198;Marcelino;236;;0;-1;;False;False;False;False;0;6;0;0;0;0
207;Totchtawan Sripan;36;;0;-1;;False;False;False;False;0;6;0;0;0;0
