Id;Position1F1S1;Position2F1S1;Position3F1S1;Position4F1S1;Position5F1S1;Position6F1S1;Position7F1S1;Position8F1S1;Position9F1S1;Position10F1S1;Position11F1S1;LocationX1F1S1;LocationY1F1S1;LocationX2F1S1;LocationY2F1S1;LocationX3F1S1;LocationY3F1S1;LocationX4F1S1;LocationY4F1S1;LocationX5F1S1;LocationY5F1S1;LocationX6F1S1;LocationY6F1S1;LocationX7F1S1;LocationY7F1S1;LocationX8F1S1;LocationY8F1S1;LocationX9F1S1;LocationY9F1S1;LocationX10F1S1;LocationY10F1S1;LocationX11F1S1;LocationY11F1S1;Position1F2S1;Position2F2S1;Position3F2S1;Position4F2S1;Position5F2S1;Position6F2S1;Position7F2S1;Position8F2S1;Position9F2S1;Position10F2S1;Position11F2S1;LocationX1F2S1;LocationY1F2S1;LocationX2F2S1;LocationY2F2S1;LocationX3F2S1;LocationY3F2S1;LocationX4F2S1;LocationY4F2S1;LocationX5F2S1;LocationY5F2S1;LocationX6F2S1;LocationY6F2S1;LocationX7F2S1;LocationY7F2S1;LocationX8F2S1;LocationY8F2S1;LocationX9F2S1;LocationY9F2S1;LocationX10F2S1;LocationY10F2S1;LocationX11F2S1;LocationY11F2S1;Position1F3S1;Position2F3S1;Position3F3S1;Position4F3S1;Position5F3S1;Position6F3S1;Position7F3S1;Position8F3S1;Position9F3S1;Position10F3S1;Position11F3S1;LocationX1F3S1;LocationY1F3S1;LocationX2F3S1;LocationY2F3S1;LocationX3F3S1;LocationY3F3S1;LocationX4F3S1;LocationY4F3S1;LocationX5F3S1;LocationY5F3S1;LocationX6F3S1;LocationY6F3S1;LocationX7F3S1;LocationY7F3S1;LocationX8F3S1;LocationY8F3S1;LocationX9F3S1;LocationY9F3S1;LocationX10F3S1;LocationY10F3S1;LocationX11F3S1;LocationY11F3S1;AttackingStylesS1;BuildUpS1;AttackingAreaS1;PositioningS1;SupportRangeS1;NumbersInAttackS1;DefensiveStylesS1;ContainmentAreaS1;PressuringS1;DefensiveLineS1;CompactnessS1;NumbersInDefenseS1;FluidS1;AdvancedAtt1S1;AdvancedAtt2S1;AdvancedDef1S1;AdvancedDef2S1;FFS1;Value1S1;Value2S1;Value3S1;Value4S1;Value5S1;Position1F1S2;Position2F1S2;Position3F1S2;Position4F1S2;Position5F1S2;Position6F1S2;Position7F1S2;Position8F1S2;Position9F1S2;Position10F1S2;Position11F1S2;LocationX1F1S2;LocationY1F1S2;LocationX2F1S2;LocationY2F1S2;LocationX3F1S2;LocationY3F1S2;LocationX4F1S2;LocationY4F1S2;LocationX5F1S2;LocationY5F1S2;LocationX6F1S2;LocationY6F1S2;LocationX7F1S2;LocationY7F1S2;LocationX8F1S2;LocationY8F1S2;LocationX9F1S2;LocationY9F1S2;LocationX10F1S2;LocationY10F1S2;LocationX11F1S2;LocationY11F1S2;Position1F2S2;Position2F2S2;Position3F2S2;Position4F2S2;Position5F2S2;Position6F2S2;Position7F2S2;Position8F2S2;Position9F2S2;Position10F2S2;Position11F2S2;LocationX1F2S2;LocationY1F2S2;LocationX2F2S2;LocationY2F2S2;LocationX3F2S2;LocationY3F2S2;LocationX4F2S2;LocationY4F2S2;LocationX5F2S2;LocationY5F2S2;LocationX6F2S2;LocationY6F2S2;LocationX7F2S2;LocationY7F2S2;LocationX8F2S2;LocationY8F2S2;LocationX9F2S2;LocationY9F2S2;LocationX10F2S2;LocationY10F2S2;LocationX11F2S2;LocationY11F2S2;Position1F3S2;Position2F3S2;Position3F3S2;Position4F3S2;Position5F3S2;Position6F3S2;Position7F3S2;Position8F3S2;Position9F3S2;Position10F3S2;Position11F3S2;LocationX1F3S2;LocationY1F3S2;LocationX2F3S2;LocationY2F3S2;LocationX3F3S2;LocationY3F3S2;LocationX4F3S2;LocationY4F3S2;LocationX5F3S2;LocationY5F3S2;LocationX6F3S2;LocationY6F3S2;LocationX7F3S2;LocationY7F3S2;LocationX8F3S2;LocationY8F3S2;LocationX9F3S2;LocationY9F3S2;LocationX10F3S2;LocationY10F3S2;LocationX11F3S2;LocationY11F3S2;AttackingStylesS2;BuildUpS2;AttackingAreaS2;PositioningS2;SupportRangeS2;NumbersInAttackS2;DefensiveStylesS2;ContainmentAreaS2;PressuringS2;DefensiveLineS2;CompactnessS2;NumbersInDefenseS2;FluidS2;AdvancedAtt1S2;AdvancedAtt2S2;AdvancedDef1S2;AdvancedDef2S2;FFS2;Value1S2;Value2S2;Value3S2;Value4S2;Value5S2;Position1F1S3;Position2F1S3;Position3F1S3;Position4F1S3;Position5F1S3;Position6F1S3;Position7F1S3;Position8F1S3;Position9F1S3;Position10F1S3;Position11F1S3;LocationX1F1S3;LocationY1F1S3;LocationX2F1S3;LocationY2F1S3;LocationX3F1S3;LocationY3F1S3;LocationX4F1S3;LocationY4F1S3;LocationX5F1S3;LocationY5F1S3;LocationX6F1S3;LocationY6F1S3;LocationX7F1S3;LocationY7F1S3;LocationX8F1S3;LocationY8F1S3;LocationX9F1S3;LocationY9F1S3;LocationX10F1S3;LocationY10F1S3;LocationX11F1S3;LocationY11F1S3;Position1F2S3;Position2F2S3;Position3F2S3;Position4F2S3;Position5F2S3;Position6F2S3;Position7F2S3;Position8F2S3;Position9F2S3;Position10F2S3;Position11F2S3;LocationX1F2S3;LocationY1F2S3;LocationX2F2S3;LocationY2F2S3;LocationX3F2S3;LocationY3F2S3;LocationX4F2S3;LocationY4F2S3;LocationX5F2S3;LocationY5F2S3;LocationX6F2S3;LocationY6F2S3;LocationX7F2S3;LocationY7F2S3;LocationX8F2S3;LocationY8F2S3;LocationX9F2S3;LocationY9F2S3;LocationX10F2S3;LocationY10F2S3;LocationX11F2S3;LocationY11F2S3;Position1F3S3;Position2F3S3;Position3F3S3;Position4F3S3;Position5F3S3;Position6F3S3;Position7F3S3;Position8F3S3;Position9F3S3;Position10F3S3;Position11F3S3;LocationX1F3S3;LocationY1F3S3;LocationX2F3S3;LocationY2F3S3;LocationX3F3S3;LocationY3F3S3;LocationX4F3S3;LocationY4F3S3;LocationX5F3S3;LocationY5F3S3;LocationX6F3S3;LocationY6F3S3;LocationX7F3S3;LocationY7F3S3;LocationX8F3S3;LocationY8F3S3;LocationX9F3S3;LocationY9F3S3;LocationX10F3S3;LocationY10F3S3;LocationX11F3S3;LocationY11F3S3;AttackingStylesS3;BuildUpS3;AttackingAreaS3;PositioningS3;SupportRangeS3;NumbersInAttackS3;DefensiveStylesS3;ContainmentAreaS3;PressuringS3;DefensiveLineS3;CompactnessS3;NumbersInDefenseS3;FluidS3;AdvancedAtt1S3;AdvancedAtt2S3;AdvancedDef1S3;AdvancedDef2S3;FFS3;Value1S3;Value2S3;Value3S3;Value4S3;Value5S3;IndexPlayer1;IndexPlayer2;IndexPlayer3;IndexPlayer4;IndexPlayer5;IndexPlayer6;IndexPlayer7;IndexPlayer8;IndexPlayer9;IndexPlayer10;IndexPlayer11;IndexPlayer12;IndexPlayer13;IndexPlayer14;IndexPlayer15;IndexPlayer16;IndexPlayer17;IndexPlayer18;IndexPlayer19;IndexPlayer20;IndexPlayer21;IndexPlayer22;IndexPlayer23;IndexPlayer24;IndexPlayer25;IndexPlayer26;IndexPlayer27;IndexPlayer28;IndexPlayer29;IndexPlayer30;IndexPlayer31;IndexPlayer32;IndexPlayer33;IndexPlayer34;IndexPlayer35;IndexPlayer36;IndexPlayer37;IndexPlayer38;IndexPlayer39;IndexPlayer40;Captain;ShortFK;LongFK;RightCorner;LeftCorner;Penalty;SecondKicker;Header1;Header2;Header3;AutoSubstitutions;OffsideTrap;SwitchTactics;AutoChangeAttDef;Value1;Value2;Zeros
1;0;1;1;3;2;4;4;7;6;12;12;3;52;10;63;10;41;12;89;12;15;18;64;18;40;30;86;30;18;43;67;43;37;0;1;1;3;2;5;5;7;6;12;12;3;52;10;63;10;41;12;89;12;15;21;63;21;40;30;86;30;18;43;67;43;37;0;1;1;3;2;4;4;7;6;8;12;3;52;10;63;10;41;12;89;12;15;18;64;18;40;30;86;30;18;34;53;43;52;0;0;0;0;7;3;1;0;0;5;9;2;0;1;0;0;0;0;0;0;0;0;0;0;1;1;3;2;4;4;7;6;5;12;3;52;10;63;10;41;12;89;12;15;18;64;18;40;30;86;30;18;28;52;43;52;0;1;1;3;2;4;4;7;6;8;12;3;52;10;63;10;41;12;89;12;15;18;64;18;40;30;86;30;18;34;52;43;52;0;1;1;3;2;4;4;7;6;5;12;3;52;10;63;10;41;12;89;12;15;18;64;18;40;30;86;30;18;28;52;43;52;0;0;0;0;8;2;1;0;0;4;9;3;0;1;0;0;0;0;0;0;0;0;0;0;1;1;3;2;4;4;7;6;12;12;3;52;10;63;10;41;12;89;12;15;18;64;18;40;30;86;30;18;43;67;43;37;0;1;1;3;2;5;5;7;6;12;12;3;52;10;63;10;41;12;89;12;15;21;63;21;40;30;86;30;18;43;67;43;37;0;1;1;3;2;4;4;7;6;8;12;3;52;10;63;10;41;12;89;12;15;18;64;18;40;30;86;30;18;34;53;43;52;0;0;0;0;7;3;1;0;0;5;9;2;0;1;0;0;0;0;0;0;0;0;0;0;4;3;12;9;13;14;22;18;24;23;1;5;8;10;11;15;16;17;19;20;21;25;2;6;7;26;27;28;29;30;31;32;33;34;35;36;37;38;39;12;9;9;9;9;9;18;255;255;255;0;0;0;0;0;0;0
2;0;1;1;1;3;2;4;5;5;12;12;3;52;10;52;10;73;10;31;15;89;15;15;19;52;26;38;26;68;43;67;43;38;0;1;1;1;7;6;4;5;5;12;12;3;52;10;52;10;73;10;31;21;88;21;16;19;52;26;38;26;68;43;67;43;38;0;1;1;1;3;2;4;5;5;11;12;3;52;10;52;10;73;10;31;15;89;15;15;19;52;26;38;26;68;39;67;43;38;0;0;1;0;9;1;1;1;1;8;5;2;0;1;0;12;0;0;0;0;0;0;0;0;1;1;1;3;2;4;4;8;12;12;3;52;10;52;10;73;10;31;15;89;15;15;19;40;19;66;27;53;43;67;43;38;0;1;1;1;3;2;4;4;8;12;12;3;52;10;52;10;73;10;31;15;89;15;15;19;40;19;66;27;53;43;67;43;38;0;1;1;1;3;2;4;4;8;12;12;3;52;10;52;10;73;10;31;15;89;15;15;19;40;19;66;27;53;43;67;43;38;0;0;1;0;8;1;1;1;0;6;8;3;0;1;0;12;0;0;0;0;0;0;0;0;1;1;1;3;2;4;5;5;12;12;3;52;10;52;10;73;10;31;15;89;15;15;19;52;26;38;26;68;43;67;43;38;0;1;1;1;7;6;4;5;5;12;12;3;52;10;52;10;73;10;31;21;88;21;16;19;52;26;38;26;68;43;67;43;38;0;1;1;1;3;2;4;5;5;11;12;3;52;10;52;10;73;10;31;15;89;15;15;19;52;26;38;26;68;39;67;43;38;0;0;1;0;9;1;1;1;1;8;5;2;0;1;0;12;0;0;0;0;0;0;0;0;4;5;3;7;9;13;10;15;22;23;1;6;11;8;12;14;16;17;18;20;19;25;2;21;24;26;27;28;29;30;31;32;33;34;35;36;37;38;39;3;9;9;9;9;9;10;255;255;255;0;0;0;0;0;0;0
3;0;1;1;3;2;4;4;5;5;12;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;30;77;30;26;43;66;43;38;0;1;1;3;2;4;4;8;8;12;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;34;75;34;29;43;66;43;38;0;1;1;3;2;4;4;5;5;11;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;30;77;30;26;39;65;43;38;0;0;0;0;5;2;0;1;1;7;6;2;0;1;0;0;0;0;0;0;0;0;0;0;1;1;3;2;4;4;5;5;12;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;30;77;30;26;43;66;43;38;0;1;1;3;2;4;4;5;5;12;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;30;77;30;26;43;66;43;38;0;1;1;3;2;4;4;5;5;12;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;30;77;30;26;43;66;43;38;0;0;0;0;6;2;0;1;0;5;7;3;0;1;0;0;0;0;0;0;0;0;0;0;1;1;3;2;4;4;5;5;12;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;30;77;30;26;43;66;43;38;0;1;1;3;2;4;4;8;8;12;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;34;75;34;29;43;66;43;38;0;1;1;3;2;4;4;5;5;11;12;3;52;10;63;10;41;12;89;12;15;20;64;20;40;30;77;30;26;39;65;43;38;0;0;0;0;5;2;0;1;1;7;6;2;0;1;0;0;0;0;0;0;0;0;0;0;4;3;10;8;13;14;18;16;22;23;1;5;6;9;12;20;15;17;19;21;24;25;2;7;11;26;27;28;29;30;31;32;33;34;35;36;37;38;39;8;18;16;8;8;22;8;255;255;255;0;0;0;0;0;0;0
4;0;1;1;3;2;4;4;5;10;9;12;3;52;10;63;10;41;12;89;12;15;18;64;18;40;27;52;36;89;36;15;43;52;0;1;1;3;2;4;4;8;10;9;12;3;52;10;63;10;41;12;89;12;15;18;64;18;40;34;52;36;89;36;15;43;52;0;1;1;3;2;4;4;8;7;6;12;3;52;10;63;10;41;12;89;12;15;18;64;18;40;27;52;34;88;34;16;43;52;0;0;0;0;5;1;1;1;0;5;8;2;0;1;0;12;0;0;0;0;0;0;0;0;1;1;3;2;4;5;5;10;9;12;3;52;10;63;10;41;12;89;12;15;18;52;26;71;26;32;37;88;37;16;43;52;0;1;1;3;2;4;5;5;10;9;12;3;52;10;63;10;41;12;89;12;15;18;52;26;71;26;32;37;88;37;16;43;52;0;1;1;3;2;4;5;5;7;6;12;3;52;10;63;10;41;12;89;12;15;18;52;26;71;26;32;33;90;33;15;43;52;0;0;1;0;7;1;1;1;0;4;8;2;0;1;0;12;0;0;0;0;0;0;0;0;1;1;3;2;4;4;5;10;9;12;3;52;10;63;10;41;12;89;12;15;18;64;18;40;27;52;36;89;36;15;43;52;0;1;1;3;2;4;4;8;10;9;12;3;52;10;63;10;41;12;89;12;15;18;64;18;40;34;52;36;89;36;15;43;52;0;1;1;3;2;4;4;8;7;6;12;3;52;10;63;10;41;12;89;12;15;18;64;18;40;27;52;34;88;34;16;43;52;0;0;0;0;5;1;1;1;0;5;8;2;0;1;0;12;0;0;0;0;0;0;0;0;4;3;7;5;14;11;15;20;17;24;2;6;8;9;10;16;12;19;21;22;23;13;1;18;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;5;17;11;7;7;20;7;255;255;255;0;0;0;0;0;0;0
5;0;1;1;3;2;4;5;5;10;9;12;3;52;10;63;10;41;12;89;12;15;18;52;26;71;26;32;37;88;37;16;43;52;0;1;1;3;2;4;8;8;10;9;12;3;52;10;63;10;41;12;89;12;15;18;52;33;65;33;38;37;88;37;16;43;52;0;1;1;3;2;4;5;5;10;9;12;3;52;10;63;10;41;12;89;12;15;18;52;26;71;26;32;37;88;37;16;43;52;1;1;0;1;2;3;1;1;0;9;4;2;0;4;0;0;0;0;0;0;0;0;0;0;1;1;3;2;4;4;5;7;6;12;3;52;10;63;10;41;12;89;12;15;18;64;18;40;32;52;33;86;33;18;43;52;0;1;1;3;2;4;4;8;10;9;12;3;52;10;63;10;41;12;89;12;15;18;64;18;40;32;52;36;90;36;14;43;52;0;1;1;3;2;4;4;5;7;6;12;3;52;10;63;10;41;12;89;12;15;18;64;18;40;32;52;33;86;33;18;43;52;1;1;0;1;4;3;1;1;0;8;4;3;0;4;0;0;0;0;0;0;0;0;0;0;1;1;3;2;4;5;5;10;9;12;3;52;10;63;10;41;12;89;12;15;18;52;26;71;26;32;37;88;37;16;43;52;0;1;1;3;2;4;8;8;10;9;12;3;52;10;63;10;41;12;89;12;15;18;52;33;65;33;38;37;88;37;16;43;52;0;1;1;3;2;4;5;5;10;9;12;3;52;10;63;10;41;12;89;12;15;18;52;26;71;26;32;37;88;37;16;43;52;1;1;0;1;2;3;1;1;0;9;4;2;0;4;0;0;0;0;0;0;0;0;0;1;6;4;12;11;14;16;13;22;20;24;0;3;5;8;10;15;18;17;19;21;23;25;2;7;9;26;27;28;29;30;31;32;33;34;35;36;37;38;39;24;13;13;13;13;24;22;255;255;255;0;0;0;0;0;0;0
6;0;1;1;3;2;4;5;5;10;9;12;3;52;11;64;11;40;13;88;13;16;20;52;25;76;25;28;37;84;37;20;43;52;0;1;1;3;2;4;8;8;10;9;12;3;52;11;64;11;40;13;88;13;16;20;52;27;67;27;37;37;84;37;20;43;52;0;1;1;3;2;4;5;5;10;9;12;3;52;11;64;11;40;13;88;13;16;20;52;25;76;25;28;37;84;37;20;43;52;1;1;0;1;2;3;0;1;0;6;4;2;0;4;0;12;0;0;0;0;0;0;0;0;1;1;3;2;4;5;5;10;9;12;3;52;11;64;11;40;13;88;13;16;20;52;25;76;25;28;37;84;37;20;43;52;0;1;1;3;2;4;5;5;10;9;12;3;52;11;64;11;40;13;88;13;16;20;52;25;76;25;28;37;84;37;20;43;52;0;1;1;3;2;4;5;5;10;9;12;3;52;11;64;11;40;13;88;13;16;20;52;25;76;25;28;37;84;37;20;43;52;0;1;0;1;4;2;0;1;0;5;6;2;0;4;0;12;0;0;0;0;0;0;0;0;1;1;3;2;4;5;5;10;9;12;3;52;11;64;11;40;13;88;13;16;20;52;25;76;25;28;37;84;37;20;43;52;0;1;1;3;2;4;8;8;10;9;12;3;52;11;64;11;40;13;88;13;16;20;52;27;67;27;37;37;84;37;20;43;52;0;1;1;3;2;4;5;5;10;9;12;3;52;11;64;11;40;13;88;13;16;20;52;25;76;25;28;37;84;37;20;43;52;1;1;0;1;2;3;0;1;0;6;4;2;0;4;0;12;0;0;0;0;0;0;0;0;4;3;10;7;12;14;11;21;23;24;1;5;6;9;13;8;16;19;18;20;17;25;2;22;15;26;27;28;29;30;31;32;33;34;35;36;37;38;39;10;12;12;12;12;12;10;255;255;255;0;0;0;0;0;0;0
7;0;1;1;3;2;4;5;5;10;9;12;3;52;11;64;11;40;13;88;13;16;18;52;25;76;25;28;39;84;39;20;43;52;0;1;1;3;2;4;5;5;10;9;12;3;52;11;64;11;40;13;88;13;16;18;52;25;76;25;28;39;84;39;20;43;52;0;1;1;3;2;4;5;5;7;6;12;3;52;11;64;11;40;13;88;13;16;18;52;25;76;25;28;34;94;34;10;43;52;1;1;0;1;1;3;0;1;0;9;8;2;0;6;0;0;0;0;0;0;0;0;0;0;1;1;3;2;4;5;5;7;6;12;3;52;11;64;11;40;13;88;13;16;20;52;25;76;25;28;33;89;33;15;43;52;0;1;1;3;2;4;5;5;10;9;12;3;52;11;64;11;40;13;88;13;16;20;52;25;76;25;28;35;88;35;15;43;52;0;1;1;3;2;4;5;5;7;6;12;3;52;11;64;11;40;13;88;13;16;20;52;25;76;25;28;33;89;33;15;43;52;1;1;0;1;1;3;0;1;1;9;7;3;0;6;0;0;0;0;0;0;0;0;0;0;1;1;3;2;4;5;5;10;9;12;3;52;11;64;11;40;13;88;13;16;18;52;25;76;25;28;39;84;39;20;43;52;0;1;1;3;2;4;5;5;10;9;12;3;52;11;64;11;40;13;88;13;16;18;52;25;76;25;28;39;84;39;20;43;52;0;1;1;3;2;4;5;5;7;6;12;3;52;11;64;11;40;13;88;13;16;18;52;25;76;25;28;34;94;34;10;43;52;1;1;0;1;1;3;0;1;0;9;8;2;0;6;0;0;0;0;0;0;0;0;0;1;4;3;10;8;12;18;13;21;23;24;2;5;6;7;9;11;14;20;22;16;17;25;0;15;19;26;27;28;29;30;31;32;33;34;35;36;37;38;39;13;18;12;18;18;24;8;255;255;255;0;0;0;0;0;0;0
8;0;1;1;3;2;5;5;8;10;9;12;3;52;10;63;10;41;12;89;12;15;21;65;21;38;30;52;36;89;36;15;43;52;0;1;1;3;2;5;5;11;10;9;12;3;52;10;63;10;41;12;89;12;15;21;65;21;38;35;52;36;89;36;15;43;52;0;1;1;3;2;5;5;8;7;6;12;3;52;10;63;10;41;12;89;12;15;21;65;21;38;30;52;34;90;34;14;43;52;1;1;0;1;1;3;0;1;0;7;5;2;0;4;0;0;0;0;0;0;0;0;0;0;1;1;3;2;4;4;5;10;9;12;3;52;10;63;10;41;12;89;12;15;21;65;21;38;30;52;36;89;36;15;43;52;0;1;1;3;2;4;4;5;10;9;12;3;52;10;63;10;41;12;89;12;15;21;65;21;38;30;52;36;89;36;15;43;52;0;1;1;3;2;4;4;5;10;9;12;3;52;10;63;10;41;12;89;12;15;21;65;21;38;30;52;36;89;36;15;43;52;1;1;0;1;3;3;0;1;1;7;7;3;0;4;0;0;0;0;0;0;0;0;0;0;1;1;3;2;5;5;8;10;9;12;3;52;10;63;10;41;12;89;12;15;21;65;21;38;30;52;36;89;36;15;43;52;0;1;1;3;2;5;5;11;10;9;12;3;52;10;63;10;41;12;89;12;15;21;65;21;38;35;52;36;89;36;15;43;52;0;1;1;3;2;5;5;8;7;6;12;3;52;10;63;10;41;12;89;12;15;21;65;21;38;30;52;34;90;34;14;43;52;1;1;0;1;1;3;0;1;0;7;5;2;0;4;0;0;0;0;0;0;0;0;0;1;4;3;10;7;15;14;16;17;21;22;0;5;6;8;9;13;18;20;19;23;24;25;2;11;12;26;27;28;29;30;31;32;33;34;35;36;37;38;39;21;17;15;17;17;21;7;255;255;255;0;0;0;0;0;0;0
9;0;1;1;3;2;4;5;5;10;9;12;3;52;10;63;10;41;12;89;12;15;18;52;26;71;26;32;37;88;37;16;43;52;0;1;1;3;2;4;5;5;10;9;12;3;52;10;63;10;41;12;89;12;15;18;52;26;71;26;32;37;88;37;16;43;52;0;1;1;3;2;4;5;5;11;11;12;3;52;10;63;10;41;12;89;12;15;18;52;26;71;26;32;36;78;36;26;43;52;1;1;0;1;1;3;0;1;0;8;6;1;0;0;0;12;0;0;0;0;0;0;0;0;1;1;3;2;4;5;5;10;9;12;3;52;10;63;10;41;12;89;12;15;18;52;26;71;26;32;37;88;37;16;43;52;0;1;1;3;2;4;5;5;10;9;12;3;52;10;63;10;41;12;89;12;15;18;52;26;71;26;32;37;88;37;16;43;52;0;1;1;3;2;4;5;5;7;6;12;3;52;10;63;10;41;12;89;12;15;18;52;26;71;26;32;32;94;32;10;43;52;1;1;0;1;2;3;0;1;0;8;7;2;0;0;0;12;0;0;0;0;0;0;0;0;1;1;3;2;4;5;5;10;9;12;3;52;10;63;10;41;12;89;12;15;18;52;26;71;26;32;37;88;37;16;43;52;0;1;1;3;2;4;5;5;10;9;12;3;52;10;63;10;41;12;89;12;15;18;52;26;71;26;32;37;88;37;16;43;52;0;1;1;3;2;4;5;5;11;11;12;3;52;10;63;10;41;12;89;12;15;18;52;26;71;26;32;36;78;36;26;43;52;1;1;0;1;1;3;0;1;0;8;6;1;0;0;0;12;0;0;0;0;0;0;0;2;7;5;10;8;12;15;19;23;20;24;0;3;4;14;11;16;13;17;21;22;18;25;1;6;9;26;27;28;29;30;31;32;33;34;35;36;37;38;39;19;19;19;19;19;24;8;255;255;255;0;0;0;0;0;0;0
10;0;1;1;3;2;5;5;8;10;9;12;3;52;10;63;10;41;12;89;12;15;21;65;21;38;30;52;36;89;36;15;43;52;0;1;1;3;2;5;5;8;10;9;12;3;52;10;63;10;41;12;89;12;15;21;65;21;38;34;52;36;89;36;15;43;52;0;1;1;3;2;5;5;8;7;6;12;3;52;10;63;10;41;12;89;12;15;21;65;21;38;30;52;34;90;34;15;43;52;1;1;0;1;2;2;0;1;0;7;3;2;0;5;0;0;0;0;0;0;0;0;0;0;1;1;3;2;4;4;8;10;9;12;3;52;10;63;10;41;12;89;12;15;21;65;21;38;30;52;36;89;36;15;43;52;0;1;1;3;2;5;5;8;10;9;12;3;52;10;63;10;41;12;89;12;15;21;65;21;38;30;52;36;89;36;15;43;52;0;1;1;3;2;4;4;5;7;6;12;3;52;10;63;10;41;12;89;12;15;21;65;21;38;30;52;31;93;31;11;43;52;1;1;0;1;3;2;0;1;0;7;5;2;0;5;0;0;0;0;0;0;0;0;0;0;1;1;3;2;5;5;8;10;9;12;3;52;10;63;10;41;12;89;12;15;21;65;21;38;30;52;36;89;36;15;43;52;0;1;1;3;2;5;5;8;10;9;12;3;52;10;63;10;41;12;89;12;15;21;65;21;38;34;52;36;89;36;15;43;52;0;1;1;3;2;5;5;8;7;6;12;3;52;10;63;10;41;12;89;12;15;21;65;21;38;30;52;34;90;34;15;43;52;1;1;0;1;2;2;0;1;0;7;3;2;0;5;0;0;0;0;0;0;0;0;0;0;6;5;9;3;16;14;18;22;20;24;1;4;7;11;12;13;19;17;10;21;23;25;2;8;15;26;27;28;29;30;31;32;33;34;35;36;37;38;39;5;9;9;9;9;9;5;255;255;255;0;0;0;0;0;0;0
