Id;Player1;Player2;Player3;Player4;Player5;Player6;Player7;Player8;Player9;Player10;Player11;Player12;Player13;Player14;Player15;Player16;Player17;Player18;Player19;Player20;Player21;Player22;Player23;Player24;Player25;Player26;Player27;Player28;Player29;Player30;Player31;Player32;Player33;Player34;Player35;Player36;Player37;Player38;Player39;Player40;Number1;Number2;Number3;Number4;Number5;Number6;Number7;Number8;Number9;Number10;Number11;Number12;Number13;Number14;Number15;Number16;Number17;Number18;Number19;Number20;Number21;Number22;Number23;Number24;Number25;Number26;Number27;Number28;Number29;Number30;Number31;Number32;Number33;Number34;Number35;Number36;Number37;Number38;Number39;Number40;Value1;Value2;Value3;Value4;Value5;Value6;Value7;Value8;Value9;Value10;Value11;Value12;Value13;Value14;Value15;Value16;Value17;Value18;Value19;Value20;Value21;Value22;Value23;Value24;Value25;Value26;Value27;Value28;Value29;Value30;Value31;Value32;Value33;Value34;Value35;Value36;Value37;Value38;Value39;Value40;TotalPlayers
1;114022;126908;157128;130524;117999;147647;157291;156912;47375;114907;157256;126868;40283;131731;118411;136713;106435;140059;59767;161536;132109;174943;121987;132624;133107;152299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16;23;4;5;22;27;15;6;28;7;25;3;17;8;13;2;9;11;24;21;12;18;20;10;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
2;110698;121423;162072;104668;173586;126919;165766;153941;169604;157846;160495;157979;171538;144274;123990;134472;101764;128054;140973;159446;118527;174884;166205;170693;138073;101091;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;1;4;24;3;6;14;13;15;5;16;10;8;12;22;21;23;11;18;2;17;7;19;9;26;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
3;113863;121431;112068;121439;121589;136407;113605;42353;101028;112069;135102;121433;121426;132387;116605;121414;112070;157937;121448;123925;121441;170716;143488;114147;114162;132227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12;21;26;16;15;13;5;3;6;22;24;2;14;4;20;7;17;11;8;23;18;25;10;9;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
4;45458;112962;100527;110946;133132;45134;169341;133744;124329;120378;172185;118657;164991;126924;151485;157801;142784;119838;164705;126342;132943;109128;115227;110947;114999;114971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;21;1;6;24;4;5;3;10;14;17;15;18;27;25;16;11;26;23;2;9;8;7;20;13;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
5;111450;47286;141479;113065;131286;110794;47785;109329;151871;61177;144578;126825;114044;108959;140816;40295;132933;138156;158740;126925;119835;110638;114808;114186;47287;104680;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;1;13;5;6;14;15;22;3;8;12;16;2;26;4;21;10;24;11;25;18;19;7;20;9;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
6;47215;60709;139924;138484;151855;153137;153210;132756;137991;118136;47787;135067;104204;135385;159320;157643;60512;126673;118444;60738;107674;117087;142763;126336;134794;60796;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12;22;3;4;24;14;19;2;5;20;23;6;18;15;10;8;21;13;17;16;25;26;11;9;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
7;141038;101520;106957;165696;159586;148009;47522;116575;101058;119828;103008;130202;110815;133157;112015;110439;161548;110902;134758;173989;127604;162114;141008;116751;110596;102742;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1;23;3;5;4;14;24;12;22;2;18;16;20;6;8;17;10;25;11;9;19;21;15;7;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
8;139898;60447;47529;116655;114975;125802;135501;111252;104717;45089;140940;119782;101334;157339;128078;47051;133653;129369;128338;152928;148172;110718;110626;139679;108069;115254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;16;1;4;24;17;2;22;5;3;21;8;13;18;6;14;26;9;19;20;25;10;11;27;15;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
9;134931;126752;106754;143400;141470;138601;144540;113241;134932;163038;117886;46647;147458;117993;37827;59801;170567;122264;133470;44379;127516;159204;154996;114457;125370;146944;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12;13;2;6;3;4;25;5;26;21;15;24;18;23;8;16;19;17;7;22;9;11;14;20;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
10;136668;142128;111130;136184;127217;44840;59766;40875;159401;133594;111986;118648;127069;113711;118274;167674;132156;144702;137000;118316;122012;122728;117932;132157;46879;103142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;23;13;3;15;4;17;6;5;12;22;20;26;2;14;24;16;7;21;8;11;25;18;19;10;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
11;142061;136132;117410;109124;151801;109126;145641;110790;123827;43467;60510;138152;113338;42424;90286;110812;117420;111138;126353;140806;141547;141060;122005;119463;130771;101875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;1;12;2;15;3;5;4;22;13;10;9;6;20;19;23;18;8;16;11;24;26;25;17;14;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
12;108279;128021;104485;114662;115098;141492;147076;151772;107686;133678;140738;100630;162196;118171;107949;63520;103686;114835;160615;131029;100620;122716;165060;114624;119811;115117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12;26;23;4;17;6;2;3;5;24;15;13;21;8;25;18;7;10;20;14;11;16;9;19;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
13;139804;126678;173698;132344;169895;127129;90479;132167;126346;152750;126345;118021;126178;136097;121344;46564;169894;135954;133439;141540;173699;109534;102719;164451;140880;120435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16;23;18;6;24;2;3;4;15;5;22;8;21;12;7;25;9;14;20;26;17;10;13;19;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
14;113283;57797;142147;142237;136044;112376;142063;104677;174079;146017;90871;132524;109005;146022;60380;117779;137924;176197;142146;138000;168889;102901;60884;142212;114506;146006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;1;12;15;16;4;24;2;18;3;26;25;6;23;20;5;21;8;17;10;11;19;9;7;13;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
15;127161;140288;116137;103551;160569;152042;120424;119695;147030;124663;117376;142828;59547;120439;166196;120426;51536;120428;164574;40871;133260;124356;126905;141221;145605;124970;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;22;1;2;4;3;6;26;17;18;13;21;23;15;25;5;7;14;8;10;24;11;12;9;19;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
16;161209;100133;168433;121422;170504;128740;90381;144870;142236;163578;146905;116066;144871;173771;143198;103404;146396;134902;103133;148101;143267;140819;152123;133543;122306;110838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1;12;3;21;23;4;25;14;22;5;8;29;2;17;10;16;18;28;30;6;11;31;9;26;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
