Id;Name;Country;Stadium;Coach;National;NameJapanese;NameSpanish;NameLatamSpanish;NameEnglish;NameUSEnglish;NameItalian;NamePortuguese;NameBrazilian;NameFrench;NameGerman;NameDutch;NameSwedish;NameRussian;NameGreek;NameTurkish;NameSimplifiedChinese;NameDatabase;NameEmpty1;NameEmpty2;NameEmpty3;NameEmpty4;ShortNameLicensed;ShortNameFake;Abbreviation;Commentary;StadiumFile;StadiumName;StadiumFileName;EmblemFile;EmblemFileName;Rival1;Rival2;Rival3;Banner1;Banner2;Banner3;Banner4;Kit1;Kit2;Kit3;Kit4;Kit5;Kit6;Kit7;Kit8;Kit9;Kit10;TeamColor1R;TeamColor1G;TeamColor1B;TeamColor2R;TeamColor2G;TeamColor2B;TurfPattern;SidelineColour;SeatColour;GoalStyle;NetPattern;GoalNettingDesign;GoalNettingColor1R;GoalNettingColor1G;GoalNettingColor1B;GoalNettingColor2R;GoalNettingColor2G;GoalNettingColor2B;Sponsor1;Sponsor2;Sponsor3;SponsorFile1;SponsorFile2;SponsorFile3;SponsorColorR;SponsorColorG;SponsorColorB;EditName;EditEmblem;EditStadium;EditStadiumName;EditStadiumFile;EditStadiumDetails;EditStadiumDetails2;EditRivals;EditBanners;EditTeamColors;EditCoach;EditSponsorFile;EditSponsorColors;EditSponsor;Edit1;Fake;LicencedPlayers;LicencedKits;LicencedCoach;LicencedCoach2;FeederTeam;ParentTeam;NonPlayableLeague;HasAnthem;AnthemStandingStyle;AnthemPlayersSinging;AnthemStandingAngle;Value1;Value2;Value3;Value4;Value5;Value6;Value7;ValueFF;Team2020_1;Team2020_2;Team2020_3;Team2020_4;Team2020_5;Team2020_6;Team2020_7;Team2020_8;Team2020_9;Team2020_10;Team2020_11;Country2020_1;Country2020_2;Country2020_3;Country2020_4;Country2020_5;Value2020_1;Value2020_2;Value2020_3;Value2020_4;Value2020_5;Value2020_6;Value2020_7;Value2020_8;Value2020_9;Value2020_10;Value2020_11;Value2020_12;Value2020_13;Value2020_14;Value2020_15;Value2020_16;Value2020_17
1;Ireland;214;29;35452;True;;;;;;;;;;;;;;;;;;;;;;;;IRL;-1;-1;Aviva Stadium;;-1;;262143;262143;262143;;;;;16384;16385;16512;16386;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;0;38;25;61;30;8;0;5;5;1;1;1;0;38;25;61;30;8;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
2;Northern Ireland;225;29;1045;True;;;;;;;;;;;;;;;;;;;;;;;;NIR;-1;-1;National Stadium at Windsor;;-1;;262143;262143;262143;;;;;32768;32769;32896;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;0;32;0;63;63;63;0;1;8;1;1;1;0;32;0;63;63;63;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
3;Scotland;232;29;34924;True;;;;;;;;;;;;;;;;;;;;;;;;SCO;-1;-1;Hampden Park;;-1;;262143;262143;262143;;;;;49152;49153;49280;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;0;27;45;63;63;63;0;4;8;1;1;1;0;27;45;63;63;63;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
4;Wales;241;13;1214;True;;;;;;;;;;;;;;;;;;;;;;;;WAL;-1;-1;Cardiff City Stadium;;-1;;262143;262143;262143;;;;;65536;65537;65664;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;55;10;12;13;37;22;0;1;4;1;1;1;55;10;12;13;37;22;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
5;England;204;5;101599;True;;;;;;;;;;;;;;;;;;;;;;;;ENG;-1;-1;Wembley Stadium;;-1;;262143;262143;262143;;;;;81920;81921;82048;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;63;63;63;51;0;0;0;1;4;1;1;1;63;63;63;51;0;0;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
6;Portugal;228;10;131073;True;;;;;;;;;;;;;;;;;;;;;;;;POR;-1;-1;Estadio Sport Lisboa e Benfica;;-1;;262143;262143;262143;;;;;98304;98305;98432;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;44;2;4;7;28;19;0;6;4;1;1;1;44;2;4;7;28;19;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
7;Spain;236;29;101589;True;;;;;;;;;;;;;;;;;;;;;;;;ESP;-1;-1;Santiago Bernabeu Stadium;;-1;;262143;262143;262143;;;;;114688;114689;114816;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;50;0;0;63;58;0;0;6;7;3;1;1;50;0;0;63;58;0;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
8;France;208;42;603;True;;;;;;;;;;;;;;;;;;;;;;;;FRA;-1;-1;Stade de France;;-1;;262143;262143;262143;;;;;131072;131073;131200;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;5;18;29;63;63;63;0;8;1;4;2;1;5;18;29;63;63;63;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
9;Belgium;197;29;1177;True;;;;;;;;;;;;;;;;;;;;;;;;BEL;-1;-1;King Baudouin Stadiu;;-1;;262143;262143;262143;;;;;147456;147457;147584;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;57;0;0;63;53;0;0;2;8;1;2;1;57;0;0;63;53;0;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
10;Netherlands;224;70;4;True;;;;;;;;;;;;;;;;;;;;;;;;NED;-1;-1;Feyenoord Stadium;;-1;;262143;262143;262143;;;;;163840;163841;163968;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;4294950912;63;22;0;63;63;63;0;5;4;1;1;1;63;22;0;63;63;63;-1;-1;-1;;;;63;63;63;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0;0;0;False;0;0;0;-1;False;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;-1;0;0;0;0;0;0;0;0;0
