Id;Name;Id Club;Club;Id National;National
91;Hong Myung-Bo;901; Fireblast Classics;0;
141;Tsuyoshi Kitazawa;900; Rainmakers Classics;0;
163;Shunsuke Nakamura;903; Powerball Classics;0;
231;Antonis Nikopolidis;905; Screambeem Classics;0;
250;Yasuhito Endō;909; Monsters Classics;0;
284;Damien Duff;903; Powerball Classics;0;
321;Vincenzo Montella;908; Thunderstrike Classics;0;
387;Mark Hughes;908; Thunderstrike Classics;0;
444;Nuno Maniche;908; Thunderstrike Classics;0;
557;Park Ji-Sung;903; Powerball Classics;53;South Korea
608;Raul González;902; Warmstorm Classics;0;
725;Roy Keane;906; Meanmachine Classics;0;
729;Robbie Keane;902; Warmstorm Classics;0;
793;Ryan Giggs;900; Rainmakers Classics;0;
808;David Seaman;902; Warmstorm Classics;0;
812;Gary Neville;908; Thunderstrike Classics;0;
815;David Beckham;906; Meanmachine Classics;0;
816;Paul Scholes;906; Meanmachine Classics;0;
817;Michael Owen;906; Meanmachine Classics;0;
818;Andy Cole;905; Screambeem Classics;0;
820;Rio Ferdinand;905; Screambeem Classics;0;
822;Steven Gerrard;903; Powerball Classics;0;
824;Steve McManaman;902; Warmstorm Classics;0;
826;Joe Cole;904; Wildcats Classics;0;
837;Rui Costa;906; Meanmachine Classics;0;
840;Luis Figo;906; Meanmachine Classics;0;
852;Iker Casillas;905; Screambeem Classics;0;
853;Fernando Hierro;906; Meanmachine Classics;0;
855;Sergi Barjuan;901; Fireblast Classics;0;
857;Pep Guardiola;906; Meanmachine Classics;0;
865;Carles Puyol;902; Warmstorm Classics;0;
866;Xavi Hernández;905; Screambeem Classics;0;
875;Marcel Desailly;906; Meanmachine Classics;0;
877;Bixente Lizarazu;906; Meanmachine Classics;0;
878;Lilian Thuram;906; Meanmachine Classics;0;
879;Emmanuel Petit;901; Fireblast Classics;0;
880;Patrick Vieira;906; Meanmachine Classics;0;
881;Thierry Henry;903; Powerball Classics;0;
882;Youri Djorkaeff;901; Fireblast Classics;0;
883;Zinédine Zidane;906; Meanmachine Classics;0;
884;Nicolas Anelka;905; Screambeem Classics;0;
888;Claude Makelele;906; Meanmachine Classics;0;
892;Ludovic Giuly;900; Rainmakers Classics;0;
893;David Trézéguet;908; Thunderstrike Classics;0;
919;Jaap Stam;906; Meanmachine Classics;0;
920;Frank de Boer;902; Warmstorm Classics;0;
923;Edgar Davids;901; Fireblast Classics;0;
924;Phillip Cocu;902; Warmstorm Classics;0;
925;Clarence Seedorf;903; Powerball Classics;0;
926;Patrick Kluivert;903; Powerball Classics;0;
928;Marc Overmars;906; Meanmachine Classics;0;
